SampleID,Farm_Code,Weight,ADG,Crude_Protein,Calcium,Phosphorous,Magnesium,TDN,DUPH01 sp002071025,CAG-873 sp004553485,Kandleria vitulina,Selenomonas_B ruminantium_A,Lachnospira eligens,Unidentified_Species630,Cryptobacteroides sp900321715,Asteroleplasma anaerobium,UBA6382 sp002439755,Butyrivibrio_A_168226 hungatei_B_168127,Unidentified_Species26,UBA1066 sp900314565,Unidentified_Species19,Unidentified_Species69,Schwartzia succinivorans,Unidentified_Species46,Prevotella sp902776665,DTU089 sp002069015,Prevotella sp002353225,Unidentified_Species476,UBA1394 sp900066845,Ruminococcus sp000431835,Butyrivibrio proteoclasticus,Fibrobacter succinogenes,Prevotella ruminicola
S001,A,312.4,1.82,14.2,0.78,0.42,0.31,62.5,0.0341,0.0112,0.0127,0.0074,0.0068,0.0051,0.0079,0.0043,0.0036,0.0071,0.0048,0.0056,0.0041,0.0038,0.0034,0.0029,0.0042,0.0033,0.0027,0.0024,0.0021,0.0187,0.0143,0.0038,0.0218
S002,B,287.6,2.14,15.8,0.92,0.51,0.38,65.3,0.0318,0.0126,0.0148,0.0086,0.0079,0.0059,0.0093,0.0051,0.0043,0.0083,0.0057,0.0066,0.0048,0.0044,0.0039,0.0034,0.0049,0.0038,0.0032,0.0028,0.0024,0.0172,0.0131,0.0044,0.0201
S003,C,356.2,1.56,13.4,0.71,0.38,0.27,59.8,0.0436,0.0097,0.0108,0.0061,0.0057,0.0042,0.0064,0.0035,0.0029,0.0058,0.0039,0.0046,0.0033,0.0030,0.0027,0.0022,0.0033,0.0026,0.0021,0.0018,0.0016,0.0212,0.0167,0.0033,0.0246
S004,A,398.7,2.43,16.5,0.84,0.47,0.34,67.1,0.0249,0.0141,0.0167,0.0097,0.0089,0.0067,0.0107,0.0059,0.0051,0.0097,0.0065,0.0077,0.0056,0.0051,0.0046,0.0039,0.0057,0.0044,0.0037,0.0033,0.0028,0.0157,0.0118,0.0052,0.0183
S005,D,271.3,1.38,12.9,0.68,0.35,0.25,57.4,0.0538,0.0083,0.0091,0.0049,0.0044,0.0032,0.0052,0.0027,0.0023,0.0044,0.0030,0.0035,0.0026,0.0023,0.0020,0.0017,0.0024,0.0019,0.0015,0.0013,0.0011,0.0243,0.0197,0.0027,0.0284
S006,E,421.5,2.78,17.3,0.97,0.54,0.41,69.4,0.0214,0.0158,0.0189,0.0111,0.0103,0.0078,0.0123,0.0068,0.0059,0.0113,0.0076,0.0089,0.0065,0.0060,0.0053,0.0046,0.0067,0.0052,0.0044,0.0039,0.0033,0.0141,0.0106,0.0061,0.0164
S007,F,334.8,1.97,15.1,0.81,0.44,0.32,63.7,0.0286,0.0119,0.0139,0.0080,0.0074,0.0055,0.0088,0.0048,0.0041,0.0079,0.0053,0.0063,0.0046,0.0041,0.0037,0.0031,0.0045,0.0035,0.0029,0.0026,0.0022,0.0177,0.0137,0.0041,0.0207
S008,G,445.2,3.12,18.1,1.03,0.58,0.44,71.2,0.0174,0.0177,0.0214,0.0127,0.0119,0.0089,0.0142,0.0079,0.0068,0.0131,0.0089,0.0104,0.0076,0.0070,0.0062,0.0053,0.0078,0.0061,0.0052,0.0046,0.0039,0.0124,0.0093,0.0072,0.0143
S009,H,302.1,1.71,13.8,0.74,0.40,0.29,61.3,0.0397,0.0106,0.0118,0.0067,0.0062,0.0046,0.0073,0.0039,0.0033,0.0063,0.0043,0.0051,0.0037,0.0033,0.0029,0.0025,0.0036,0.0028,0.0023,0.0020,0.0018,0.0199,0.0154,0.0037,0.0233
S010,I,367.9,2.29,16.0,0.88,0.49,0.37,66.2,0.0264,0.0133,0.0154,0.0089,0.0082,0.0062,0.0098,0.0054,0.0047,0.0089,0.0059,0.0071,0.0051,0.0047,0.0042,0.0035,0.0051,0.0040,0.0034,0.0030,0.0025,0.0164,0.0127,0.0046,0.0191
